ID,Object Name,Family,Material,Volume (m³),Emission Factor (kg CO₂/m³),Total Carbon Footprint (kg CO₂)
05e9eb2d9bf019dbf3626a4f6556643d,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b1,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 9,0.507277765813749,255.27036251653064,129.49297917585142
188a81166f59455dc5e750e4269d356e,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b1,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 7,0.26499801028761927,245.7192520814139,65.11511289093663
98a0eb34adb3f03e5bc622b00a723d59,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b1,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 8,0.39116024086405227,360.71824464452214,141.09863545920942
8adcd5fe0176f3ecec11d1a6d9b5b285,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b1,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 3,0.30335301205339954,74.17480640226975,22.501150940606312
f8773a53fe661208774310e34746c84b,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b1,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 2,0.09457876274502804,170.90434094461494,16.163921114296116
9a15e3eda15a58e7e5cdd5748595fc78,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b1,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 4,0.18536643559866384,416.3981036041436,77.18623225514324
8bbfe806d0e0fe39cc089ab19be165e2,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b1,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 6,0.38084888414902446,246.66190052447024,93.94090957682216
0e98597423a080bea98824c0802aed6b,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b1,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 5,0.3637536065558332,467.36762927393835,170.0066607358447
5af6b6f5cb1d4f29e13c6256d03c3d1b,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b1,FacadeWindow_AdaptiveFamily_Detailed,Glass,0.35256165781812754,315.57942743859695,111.26120611104723
3a62897eb7a44c0ab5470761a75e80cf,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b1,FacadeWindow_AdaptiveFamily_Detailed,Glass 3,0.23733859779954464,490.0663976352818,116.31167164343186
5127faca46b0cc37176756f940234dac,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b9,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 9,0.6454192472383554,255.27036251653064,164.7564052176813
99b05b35e8546b819fe5c871f9fa09f6,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b9,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 7,0.44048725458127963,245.7192520814139,108.2361987471074
97fa2b0ee4d1eed57b918e15439d792f,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b9,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 8,0.4572451288756696,360.71824464452214,164.93666026028984
2a119c18507ae94e0d262eed5a271571,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b9,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 3,0.5281558604018961,74.17480640226975,39.17585869553485
41383da17826ba6771a62b76eb4e12f8,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b9,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 2,0.08273264657667756,170.90434094461494,14.139368437790832
74d2434d090f601ce43aec860f5dad37,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b9,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 4,0.07492618566072291,416.3981036041436,31.199121619417
1e729f5156083c1b0c117454e9906c83,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b9,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 6,0.24981605801946763,246.66190052447024,61.62010365261321
d0fe68b4a171ccf57eedbf7ed962930c,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b9,FacadeWindow_AdaptiveFamily_Detailed,Aluminum frame 5,0.23243222900588886,467.36762927393835,108.63129983733941
c918a4253089f9cc9fae5e2b7d9b6aec,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b9,FacadeWindow_AdaptiveFamily_Detailed,Glass,0.4847366471499175,315.57942743859695,152.97291356607616
681f64c301f3f5653ad41f7579562566,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7b9,FacadeWindow_AdaptiveFamily_Detailed,Glass 3,0.10594637293311815,490.0663976352818,51.92075732585734
93054efeb3a83128052591a6bf4d4ef6,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7c0,FacadeWindow1_AdaptiveFamily_Detailed,Aluminum frame 3,0.18954726392618143,74.17480640226975,14.059631605804437
58c921778eb1496c14a16b22f0d71676,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7c0,FacadeWindow1_AdaptiveFamily_Detailed,Aluminum frame 2,0.2916239777581607,170.90434094461494,49.8398037224055
3800372960e56372154b1fa4405885ad,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7c0,FacadeWindow1_AdaptiveFamily_Detailed,Aluminum frame 1,0.2693211159551908,367.5880238950917,98.99921680718944
29829279353f6748c1acb6873805c6f9,0ae714b3-2150-492d-a3e1-214fdd462517-000dd7c0,FacadeWindow1_AdaptiveFamily_Detailed,GEN_Copper,0.16005250774724722,212.56538524394,34.02162296855229
